,STATIONS UP TRAINS,Borivali 90248 12 CAR,GMN 90250 12 CAR,VR 92044 15 CAR,VR 90252 12 CAR,Borivali 90254 12 CAR,Borivali 90256 12 CAR,VR 92046 15 CAR,VR 92048 15 CAR,Borivali 90258 12 CAR,VR 90260 12 CAR,BYR 92050 15 CAR,Borivali 90262 12 CAR,GMN 90264 12 CAR,DRD 93006 12 CAR,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40
0,VIRAR Nalla Sopara,,,08:14 08:20,08:18 08:25,NOT ON,,08:23 08:29,08:24 08:30,,08:28 08:34,,,,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
1,VASAI ROAD,,,08:26,08:31,SUN,,08:34,08:35,,08:39,,,,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Naigaon,,,08:31,08:36,ONLY,,08:38,08:40,,08:43,3,,,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BHAYANDAR,,,08:37,08:41,,,08:43,08:45,,08:48,08:51,,NOT ON,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Mira Road,,,08:42,08:46,,,08:48,08:50,,08:53,08:56,,SUN &,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dahisar,,,08:46,08:50,,,08:52,08:54,,08:57,09:00,,HOLIDAY,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BORIVALI,08:47,,08:50,08:55,08:54,08:58,08:58,08:59,09:01,09:02,09:05,09:06,,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kandivali,08:54,,08:57,,09:00,09:03,,,09:06,,09:09,09:12,,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Malad,08:57,,09:00,,09:03,09:06,,,09:09,,09:12,09:15,,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Goregaon,09:00,08:57,09:03,,09:06,09:09,,,09:12,,09:15,09:18,09:18,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ram Mandir,09:02,,09:05,,09:08,09:11,,,09:14,,09:17,09:20,09:21,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jogeshwari,09:05,09:02,09:08,,09:11,09:14,,,09:17,,09:20,09:23,09:24,08:30 08:40 08:48 09:05 09:18 09:28 09:34 09:41 09:43 09:45 09:48 09:52,,,,,,,,,,,,,,,,,,,,,,,,,,
